일련번호,업소명,사업장도로명주소,소재지전화번호,객실수
143,이코노미 해운대,"부산광역시 해운대구 구남로12번길 11, 3~4층 (우동)",051-746-0006,14
144,호텔 109,부산광역시 해운대구 해운대해변로197번길 10-9 (우동),051-747-1092,51
145,호텔 더 마크 해운대(Hotel The Mark Haeundae),부산광역시 해운대구 해운대해변로298번길 29 (중동),051-501-9440,14
146,베스트웨스턴 해운대호텔,"부산광역시 해운대구 구남로 42, 2층일부,3~15층 (중동)",051-664-1234,134
147,킹콩 게스트 하우스,"부산광역시 해운대구 구남로41번길 46, 2~5층 (중동)",,10
148,베니키아호텔 해운대,"부산광역시 해운대구 해운대해변로 317, 4~19층 (중동)",051-760-7001,156
149,토요코인 부산 해운대Ⅱ,부산광역시 해운대구 해운대해변로237번길 5 (우동),051-741-1045,510
150,할매온천힐링센터,"부산광역시 해운대구 중동2로10번길 7, 2층 (일부)호 (중동)",,6
151,부띠크 엘리시아,"부산광역시 해운대구 구남로 49, 엘리시아 (중동)",051-743-1311,34
152,소노문 해운대,"부산광역시 해운대구 해운대해변로237번길 12 (우동, 1층(일부), 3~18층,20층)",051-630-1100,237
153,에이치 모먼트 펜션 A,"부산광역시 해운대구 송정해변로 4, 3~5층 (송정동)",,14
154,신라스테이 해운대,"부산광역시 해운대구 해운대로570번길 46, 2~15층 (우동)",051-911-9181,407
155,아크블루 호텔,부산광역시 해운대구 해운대해변로209번가길 25 (우동),051-741-7711,42
156,라마다 앙코르 해운대 호텔,부산광역시 해운대구 구남로 9 (우동),051-610-3071,402
157,오게스트앤미니호텔,"부산광역시 해운대구 구남로8번길 11, 2~3층 (우동)",,12
158,펀웨이브(FUNWAVE)게스트하우스,"부산광역시 해운대구 중동1로 11-1, 3층 (우동)",,9
159,마마 게스트하우스 해운대점,"부산광역시 해운대구 중동1로 40, 2층 (중동)",070-7797-3650,15
160,브라운도트호텔 송정점,부산광역시 해운대구 송정광어골로 30 (송정동),051-702-0090,38
161,호텔라온,부산광역시 해운대구 송정광어골로 39 (송정동),051-714-0003,67
162,플레아드블랑(PLEA DE BLANC),"부산광역시 해운대구 해운대해변로298번길 29, 해운대푸르지오시티 (중동)",051-742-2277,26
163,휘겔리 스위트,"부산광역시 해운대구 달맞이길62번가길 37, 6층 (중동)",1855-0788,9
164,선트리 호텔,부산광역시 해운대구 달맞이길 209 (중동),051-742-0021,32
165,호텔 메리케이 센텀,부산광역시 해운대구 센텀3로 20 (우동),051-720-8036,107
166,페어필드바이메리어트부산,부산광역시 해운대구 해운대해변로 314 (중동),051-749-7777,225
167,베이몬드호텔,부산광역시 해운대구 해운대해변로209번가길 27 (우동),051-702-0001,67
168,소사이어티에스호텔해운대,부산광역시 해운대구 구남로12번길 37 (우동),051-744-0303,72
169,호텔 인트로,부산광역시 해운대구 해운대해변로197번길 10-10 (우동),051-741-1188,41
170,시점 풀빌라펜션(해운대),"부산광역시 해운대구 달맞이길62번길 53, 보림마리나센타 7층 (중동)",051-741-1174,4
171,카이브,"부산광역시 해운대구 송정광어골로 15, 5,6층 (송정동)",,4
172,온다호텔(ONDA HOTEL),부산광역시 해운대구 해운대로570번길 43 (우동),,20
173,호텔 블루스토리해운대,"부산광역시 해운대구 해운대해변로237번길 11, 1동 3-18층 (우동)",,304
174,(주)호텔롯데 시그니엘 부산,"부산광역시 해운대구 달맞이길 30 (중동, 엘시티)",051-922-1000,260
175,유에이치스위트 랜드스케이프 14층,"부산광역시 해운대구 해운대해변로 271, 씨스타 14층 (중동)",,10
176,(주)조선호텔앤리조트 그랜드조선부산,"부산광역시 해운대구 해운대해변로 292, 그랜드 조선 부산 (중동)",051-749-7000,330
177,하운드 해운대 가든&테라스 호텔,부산광역시 해운대구 구남로12번길 55 (우동),,73
178,하운드 해운대 시그니처 호텔,부산광역시 해운대구 해운대로594번길 15 (우동),,72
179,해운대 센트럴호텔,부산광역시 해운대구 해운대해변로298번길 33 (중동),,132
180,카이브2,"부산광역시 해운대구 송정광어골로 55, 하얀집 (송정동)",,6
181,그랜드오션,"부산광역시 해운대구 구남로 49, 엘리시아 5,6,7층 (중동)",,25
182,라비드아틀란호텔Ⅱ,"부산광역시 해운대구 구남로 37, 3층 312호 (중동)",,305
183,해운대 블루스토리호텔,"부산광역시 해운대구 해운대해변로237번길 11, 403호 (우동)",,229
184,W레지던스호텔,부산광역시 해운대구 센텀3로 20 (우동),,26
185,온더비치,"부산광역시 해운대구 해운대해변로298번길 29, 해운대푸르지오시티 A동 2203호 (중동)",,31
186,광수호텔,부산광역시 해운대구 해운대해변로221번길 22 (우동),051-922-1600,171
187,센텀빅토리아호텔,"부산광역시 해운대구 센텀3로 20, 벡스코 비지니스호텔 1603호 (우동)",1666-9528,56
188,센텀스위트호텔,"부산광역시 해운대구 센텀1로 17, 센텀프리미어호텔 203호 (우동)",,133
189,명월가,"부산광역시 해운대구 중동1로 4, 동춘빌딩 5층 (우동)",,2
190,EL호텔,"부산광역시 해운대구 중동1로 46, 해운대온천 (중동)",,29
191,에피큐리언 레지던스,"부산광역시 해운대구 해운대로570번길 29-1, 오피스텔리오 9, 10층 (우동)",,8
192,호텔 해운대엘리시아,"부산광역시 해운대구 구남로 49, 엘리시아 5,9,13층 (중동)",,18
193,벡스코 센텀호텔,"부산광역시 해운대구 센텀3로 20, 벡스코 비지니스호텔 (우동)",,22
194,더퍼스트 오션 송정,"부산광역시 해운대구 송정중앙로36번길 48, 15층 (송정동)",,8
195,반월풀빌라,부산광역시 해운대구 달맞이길62번길 67 (중동),,3
196,동백호텔(해운대점),"부산광역시 해운대구 구남로8번길 17, 지엠타워 3~7층 (우동)",,46
197,솔스테이 풀빌라&료칸,부산광역시 해운대구 송정중앙로6번길 66 (송정동),,8
198,스테이온 풀빌라,"부산광역시 해운대구 달맞이길62번길 53, 보림마리나센타 6층 (중동)",,4
199,센텀컨벤션호텔,"부산광역시 해운대구 센텀3로 20, 벡스코 비지니스호텔 (우동)",,32
200,프로모텔(PRO모텔),부산광역시 해운대구 중동1로 44-2 (중동),,25
201,센텀프리미어호텔,"부산광역시 해운대구 센텀1로 17, 센텀프리미어호텔 (우동)",,38
202,더쿨리스트호텔,부산광역시 해운대구 송정광어골로 11 (송정동),,53
203,스텔라,"부산광역시 해운대구 송정광어골로 64, 스텔라빌딩 3,4층 (송정동)",,2
204,센텀비즈니스호텔,"부산광역시 해운대구 센텀1로 17, 센텀프리미어호텔 (우동)",,77
205,호텔 이루아,"부산광역시 해운대구 해운대해변로298번길 29, 해운대푸르지오시티 A동 303호 (중동)",,31
206,센텀시티호텔,"부산광역시 해운대구 센텀3로 20, 벡스코 비지니스호텔 (우동)",,31
207,호텔 마리쏠,"부산광역시 해운대구 구남로 37, 해운대르와지르호텔 (중동)",,112
208,호텔롯데 L7해운대,부산광역시 해운대구 해운대로570번길 55 (우동),02-6005-1766,383
209,아리랑 아일랜드,부산광역시 해운대구 구남로29번길 20-8 (중동),,38
210,메르드로브,부산광역시 해운대구 송정광어골로 80 (송정동),,33
211,아파트먼트풀 포알엠에스,"부산광역시 해운대구 달맞이길117번가길 219, 3~5층 (중동)",,4
212,유에이치 컨티넨탈 센터포인트,부산광역시 해운대구 달맞이길 2-21 (중동),,54
213,와이(Y) 게스트하우스,"부산광역시 해운대구 달맞이길 2-13, 동진빌딩 4층 (중동)",,8
214,송리단펜션,"부산광역시 해운대구 송정강변로 19, 풀하우스 민박 2, 3층 (송정동)",051-703-4322,14
215,주식회사 이랜드파크 켄싱턴리조트 해운대,부산광역시 해운대구 해운대해변로 243 (우동),051-746-8181,244
216,성일장여관,부산광역시 해운대구 해운대로61번길 70 (반여동),051-782-3175,10
217,라임,부산광역시 해운대구 송정해변로 28-5 (송정동),051-701-2470,16
218,재송 힐,부산광역시 해운대구 해운대로153번길 22 (재송동),051-781-7623,17
219,센텀하우스,부산광역시 해운대구 재송1로14번길 25 (재송동),051-781-6576,20
220,캔버스 호스텔,부산광역시 해운대구 해운대해변로197번길 14 (우동),051-746-3091,27
221,코오롱씨클라우드호텔,부산광역시 해운대구 해운대해변로 287 (중동),051-933-1442,208
222,해운대센텀호텔Ⅱ,부산광역시 해운대구 센텀3로 20 (우동),051-720-9000,119
223,히딩크,부산광역시 해운대구 송정중앙로36번길 11-22 (송정동),051-703-5259,5
224,팔레드시즈,부산광역시 해운대구 해운대해변로298번길 24 (중동),051-746-7838,331
225,해운대그린나래호텔,부산광역시 해운대구 해운대해변로 233 (우동),051-744-8160,73
226,팝콘호스텔 해운대점,"부산광역시 해운대구 해운대해변로 321, 1001,1101호 (중동, 중동 마린타워)",051-747-6147,17
227,폴에이리조트 해운대,부산광역시 해운대구 달맞이길 13 (중동),051-731-1201,60
228,스테이서몽,부산광역시 해운대구 송정해변로 8-12 (송정동),,8
229,폴앤풀(해운대),"부산광역시 해운대구 해운대해변로 321, 601호 (중동, 마린타워)",,12
230,더 설레임 펜션,부산광역시 해운대구 송정해변로 8-14 (송정동),,11
231,가든인 송정,"부산광역시 해운대구 송정해변로 36, 3~4층 (송정동)",,2
232,아이엠하우스펜션,부산광역시 해운대구 구남로12번길 39 (우동),,8
233,송정 오셔너스,"부산광역시 해운대구 송정광어골로 47, 6~9층 (송정동)",,18
234,호텔 더 마크 해운대(Hotel The Mark Haeundae),부산광역시 해운대구 해운대해변로298번길 29 (중동),051-501-9440,22
235,일로와 스테이,부산광역시 해운대구 달맞이길62번가길 31 (중동),,5
236,더휴해운대,"부산광역시 해운대구 중동1로 22, 2~3층 (중동)",051-746-6577,17
237,송정 알리바바,"부산광역시 해운대구 송정중앙로36번길 21, 1~5층 (송정동)",,20
238,J.SUN 호스텔,"부산광역시 해운대구 우동1로20번길 5, 1,2층 (우동)",,5
239,부산송정,부산광역시 해운대구 송정중앙로39번길 3 (송정동),051-702-0852,9
240,달빛테라스,"부산광역시 해운대구 해운대로594번가길 47, 5층 (우동, 엘리시아부설주차장)",,8
241,모네의 여름,부산광역시 해운대구 송정광어골로 65 (송정동),,8
242,해운대 펜트하우스,"부산광역시 해운대구 중동1로 17, 8층 (중동)",051-747-5171,4
243,캔버스(CANVAS),부산광역시 해운대구 해운대해변로197번길 13 (우동),051-746-2185,28
244,송정아토 호스텔,"부산광역시 해운대구 송정강변로 23, 2~4층 (송정동)",,7
245,스테이안,부산광역시 해운대구 해운대로 107 (재송동),051-781-5100,18
246,해운대 카라반 호스텔,부산광역시 해운대구 송정중앙로6번길 180 (송정동),,5
247,이너피스,부산광역시 해운대구 송정광어골로82번길 16 (송정동),,8
248,아크블루호텔(ARK BLUE HOTEL),"부산광역시 해운대구 해운대해변로209번가길 25, 2,9층 (우동)",051-741-7711,5
249,에스스테이,부산광역시 해운대구 송정중앙로36번길 42 (송정동),,16
250,카이브 부산송정3호점,부산광역시 해운대구 송정광어골로 67 (송정동),051-731-6702,4
251,송정 해수락,부산광역시 해운대구 송정해변로 8-17 (송정동),051-702-1995,37
252,마린케이풀빌라,부산광역시 해운대구 송정광어골로 3 (송정동),,10
253,갱이하우스,"부산광역시 해운대구 해운대해변로359번길 27, 7층 (중동)",,2
254,더크립56,"부산광역시 해운대구 해운대해변로359번길 27, 승훈빌딩 5~6층 (중동)",,4
255,더크립24,"부산광역시 해운대구 해운대해변로359번길 27, 승훈빌딩 3~4층층 (중동)",,4
256,플레아드블랑(PLEA DE BLANC),"부산광역시 해운대구 해운대해변로298번길 29, 해운대푸르지오시티 (중동)",051-742-2277,28
257,앙스모멍,부산광역시 해운대구 송정중앙로36번길 25 (송정동),,7
258,부산 송정 놀다가(GO)풀빌라 펜션,부산광역시 해운대구 송정구덕포길 130 (송정동),051-704-7888,7
259,송정 미연,부산광역시 해운대구 송정광어골로 58-1 (송정동),,8
260,그레이샌즈 풀빌라,"부산광역시 해운대구 송정해변로 30-1, 2~5층 (송정동)",051-701-0606,9
261,바게트호텔,"부산광역시 해운대구 해운대해변로209번길 13, 4층 (우동)",051-754-3300,1
262,(주)썬클라우드호텔,"부산광역시 해운대구 해운대해변로 287, 씨클라우드 (중동)",,92
263,에이치 모먼트 펜션 B,부산광역시 해운대구 송정해변로 6-4 (송정동),,7
264,(주)해운대씨클라우드호텔레지던스,"부산광역시 해운대구 해운대해변로 287, 씨클라우드호텔 616호 (중동)",051-933-6000,116
265,카이브,"부산광역시 해운대구 송정광어골로 15, 5~9층층 (송정동)",,4
266,그림하우스,"부산광역시 해운대구 송정구덕포길 64, 2~4층 (송정동)",,5
267,바다봄,"부산광역시 해운대구 송정해변로 10, 3~5층 (송정동)",,5
268,송정스카이 부티크,"부산광역시 해운대구 송정중앙로6번길 118, 3~6층 4호 (송정동)",,3
269,야자호텔,"부산광역시 해운대구 해운대로143번길 16-9, 티모텔 6층 (재송동)",051-781-0601,3
270,엘시티 레지던스,"부산광역시 해운대구 달맞이길 30 (중동, 엘시티)",051-746-1077,89
271,유에이치스위트 더 해운대,"부산광역시 해운대구 해운대해변로 271, 씨스타 3층 301~305호 (중동)",,5
272,송정스케치.K,부산광역시 해운대구 송정중앙로6번길 54 (송정동),,5
273,펜톤나인,부산광역시 해운대구 송정광어골로 15-1 (송정동),,7
274,그랜드엘시티레지던스,"부산광역시 해운대구 달맞이길 30 (중동, 엘시티)",051-747-8358,100
275,송정 스카이 풀,"부산광역시 해운대구 송정광어골로 19, 상림빌딩 3~5층 (송정동)",,7
276,UH.Suite Harbor Town(유에이치 스위트 하버타운),"부산광역시 해운대구 해운대해변로 257, 하버타운 상가동 403호 (우동)",,6
277,팰릭스바이에스티엑스,"부산광역시 해운대구 해운대로 620, 해운대 라뮤에뜨 (우동)",,353
278,영무파라드호텔,부산광역시 해운대구 해운대해변로298번길 25 (중동),051-743-0003,52
279,영무파라드호텔,부산광역시 해운대구 해운대해변로298번길 25 (중동),0707-7311-961,195
280,메르씨엘 호텔,"부산광역시 해운대구 해운대로 620, 해운대 라뮤에뜨 (우동)",051-760-2100,30
281,벨리아(BELLIA),"부산광역시 해운대구 해운대해변로298번길 29, 해운대푸르지오시티 (중동)",,24
282,펜톤나인 2호점,부산광역시 해운대구 송정중앙로6번길 94 (송정동),,8
283,하운드 송정,부산광역시 해운대구 송정중앙로36번길 56 (송정동),,53
284,네버 엔딩 웨이브,부산광역시 해운대구 송정중앙로6번길 82 (송정동),,3
285,펜트온,"부산광역시 해운대구 송정광어골로 21, 2~4층 (송정동)",,3
286,마레마레 송정(폴마레),"부산광역시 해운대구 송정중앙로6번길 86, 4-8층 (송정동)",,8
