업종명,업소명,영업소 주소(도로명),우편번호(도로명),영업소 주소(지번),소재지전화,데이터 기준일자
숙박업(일반),돔보여관,부산광역시 사하구 낙동대로474번길 2 (하단동),49325,부산광역시 사하구 하단동 534-14 ,051-293-7453,2025-05-16
숙박업(일반),6월 모텔,부산광역시 사하구 다대로 567-3 (다대동),49524,부산광역시 사하구 다대동 724 ,051-714-0181,2025-05-16
숙박업(일반),로망스장 여관,부산광역시 사하구 사하로 201-5 (괴정동),49381,부산광역시 사하구 괴정동 970-17 ,051-206-3444,2025-05-16
숙박업(일반),MAX 모텔,부산광역시 사하구 낙동대로450번길 5 (당리동),49326,부산광역시 사하구 당리동 303-18 ,051-291-7118,2025-05-16
숙박업(일반),굿타임,부산광역시 사하구 하신번영로300번길 100-4 (하단동),49312,"부산광역시 사하구 하단동 515-16, 515-17 A동 ",051-202-2841,2025-05-16
숙박업(일반),굿타임별관,"부산광역시 사하구 하신번영로300번길 100-6, B동 (하단동)",49312,부산광역시 사하구 하단동 515-16 B동 ,051-202-2841,2025-05-16
숙박업(일반),WOW,부산광역시 사하구 하신번영로300번길 100 (하단동),49312,부산광역시 사하구 하단동 515-12 ,051-203-1188,2025-05-16
숙박업(일반),머물다호텔(HOTEL MOMULDA),부산광역시 사하구 하신번영로300번길 122 (하단동),49311,부산광역시 사하구 하단동 512-2 ,051-293-8306,2025-05-16
숙박업(일반),모텔츄츄,부산광역시 사하구 낙동남로1423번길 33 (하단동),49311,부산광역시 사하구 하단동 512-21 ,051-208-0657,2025-05-16
숙박업(일반),파라다이스,부산광역시 사하구 낙동남로1423번길 40 (하단동),49310,부산광역시 사하구 하단동 511-6 ,051-203-0116,2025-05-16
숙박업(일반),지티(G.T)모텔,부산광역시 사하구 사하로197번길 50 (괴정동),49380,부산광역시 사하구 괴정동 858 ,051-293-8444,2025-05-16
숙박업(일반),그린힐호텔,부산광역시 사하구 낙동대로485번길 4 (하단동),49310,부산광역시 사하구 하단동 511-11 ,051-203-8591,2025-05-16
숙박업(일반),발리모텔,부산광역시 사하구 낙동남로1423번길 32 (하단동),49310,부산광역시 사하구 하단동 511-23 ,051-202-0778,2025-05-16
숙박업(일반),코자837모텔,부산광역시 사하구 다대로 567-5 (다대동),49524,부산광역시 사하구 다대동 792 ,051-266-0837,2025-05-16
숙박업(일반),해원장여관,부산광역시 사하구 낙동남로1389번길 10-5 (하단동),49312,부산광역시 사하구 하단동 515-24 ,051-208-1035,2025-05-16
숙박업(일반),로망스,부산광역시 사하구 다대동로29번길 7 (다대동),49524,부산광역시 사하구 다대동 894 ,051-263-3303,2025-05-16
숙박업(일반),넘버25 호텔 하단점,부산광역시 사하구 하신번영로300번길 113 (하단동),49309,부산광역시 사하구 하단동 513-9 ,051-207-7868,2025-05-16
숙박업(일반),파크장,부산광역시 사하구 장림번영로 29 (장림동),49475,부산광역시 사하구 장림동 325-3 ,051-266-5988,2025-05-16
숙박업(일반),에이치모먼트호텔 하단점,부산광역시 사하구 낙동남로1423번길 50 (하단동),49310,부산광역시 사하구 하단동 511-22 ,051-205-2560,2025-05-16
숙박업(일반),하단덴바스타호텔,부산광역시 사하구 하신번영로300번길 100-9 (하단동),49312,부산광역시 사하구 하단동 514-8 ,051-202-7340,2025-05-16
숙박업(일반),호텔 야오,부산광역시 사하구 낙동남로1389번길 18 (하단동),49312,부산광역시 사하구 하단동 515-28 ,051-292-8093,2025-05-16
숙박업(일반),퍼블릭,부산광역시 사하구 하신번영로300번길 100-5 (하단동),49312,부산광역시 사하구 하단동 514-25 ,051-204-3230,2025-05-16
숙박업(일반),라라모텔,부산광역시 사하구 사하로197번길 28 (괴정동),49381,부산광역시 사하구 괴정동 944-3 ,051-294-0090,2025-05-16
숙박업(일반),E 팰리스 호텔(E PALACE HOTEL),부산광역시 사하구 낙동남로1423번길 55 (하단동),49309,부산광역시 사하구 하단동 513-3 ,051-207-5083,2025-05-16
숙박업(일반),휴앤호텔,부산광역시 사하구 하신번영로300번길 100-12 (하단동),49312,부산광역시 사하구 하단동 515-21 ,051-207-1408,2025-05-16
숙박업(일반),위브모텔,부산광역시 사하구 낙동대로233번길 6 (괴정동),49380,부산광역시 사하구 괴정동 891-9 ,051-202-4919,2025-05-16
숙박업(일반),더원호텔,부산광역시 사하구 다대로 649 (다대동),49527,부산광역시 사하구 다대동 420-4 ,051-262-1245,2025-05-16
숙박업(일반),오이아호텔,부산광역시 사하구 다대동로 45 (다대동),49523,"부산광역시 사하구 다대동 851-1,-3 ",051-261-0600,2025-05-16
숙박업(일반),쇼모텔,부산광역시 사하구 낙동남로 1421 (하단동),49311,부산광역시 사하구 하단동 526-11 ,051-203-4201,2025-05-16
숙박업(일반),로쏘호텔,부산광역시 사하구 낙동대로216번길 2 (괴정동),49338,부산광역시 사하구 괴정동 1002-1 ,051-203-3636,2025-05-16
숙박업(일반),하단덴바스타호텔 별관,부산광역시 사하구 하신번영로300번길 100-9 (하단동),49312,부산광역시 사하구 하단동 514-8 ,051-202-7341,2025-05-16
숙박업(일반),K 모텔,부산광역시 사하구 낙동남로1405번길 27 (하단동),49312,부산광역시 사하구 하단동 514-28 ,051-207-3338,2025-05-16
숙박업(일반),휴 모텔,부산광역시 사하구 낙동대로224번길 1-2 (괴정동),49340,부산광역시 사하구 괴정동 975-12 ,051-208-0093,2025-05-16
숙박업(일반),브라운도트호텔(하단점),"부산광역시 사하구 낙동남로1423번길 47, 브라운도트관광호텔 (하단동)",49311,부산광역시 사하구 하단동 512-4 브라운도트관광호텔 ,051-201-3994,2025-05-16
숙박업(일반),레이어스호텔,"부산광역시 사하구 낙동남로 1395, 레이어스호텔 (하단동)",49312,부산광역시 사하구 하단동 525-4 ,051-999-1732,2025-05-16
숙박업(일반),하운드호텔(하단),"부산광역시 사하구 낙동남로1405번길 17-1, 하운드호텔 (하단동)",49312,부산광역시 사하구 하단동 514-11 ,051-208-0245,2025-05-16
숙박업(생활),에이치모먼트호텔 하단점,"부산광역시 사하구 낙동남로1423번길 50, 8층 (하단동)",49310,부산광역시 사하구 하단동 511-22 ,051-205-2560,2025-05-16
숙박업(생활),WOW,"부산광역시 사하구 하신번영로300번길 100, 6층 (하단동)",49312,부산광역시 사하구 하단동 515-12 ,051-203-1188,2025-05-16
숙박업(생활),휴앤호텔,"부산광역시 사하구 하신번영로300번길 100-12, 6층 (하단동)",49312,부산광역시 사하구 하단동 515-21 ,051-207-1408,2025-05-16
