업종명,업소명,소재지도로명,소재지전화번호,객실수
숙박업(일반),글랜스호텔,부산광역시 영도구 봉래나루로 56 (봉래동1가),051-418-3845,43
숙박업(일반),비치모텔,부산광역시 영도구 하리해안길 10-9 (동삼동),051-405-3331,29
숙박업(일반),베이 하운드 호텔,부산광역시 영도구 태종로65번길 11 (대교동1가),051-412-4222,69
숙박업(일반),O.K모텔,부산광역시 영도구 절영로19번길 33 (대교동2가),051-414-9111,25
숙박업(일반),호텔 브릿지,부산광역시 영도구 봉래나루로 72 (봉래동1가),051-415-1008,36
숙박업(일반),드림모텔,부산광역시 영도구 태종로99번길 15 (대교동2가),051-413-5544,28
숙박업(일반),우창모텔,부산광역시 영도구 절영로 15-1 (대교동2가),051-416-3400,28
숙박업(일반),지오(Go)모텔,부산광역시 영도구 태종로73번길 11 (대교동1가),051-412-1100,19
숙박업(일반),테마,부산광역시 영도구 태종로99번길 18 (대교동2가),051-413-9693,22
숙박업(일반),브라운도트 영도대교점,부산광역시 영도구 절영로19번길 37 (대교동2가),0507-1320-8857,25
숙박업(일반),나인,부산광역시 영도구 절영로 48-1 (남항동1가),051-412-0483,35
숙박업(일반),블루모텔,부산광역시 영도구 절영로42번길 5 (남항동1가),051-412-9757,23
숙박업(일반),큐 모텔,부산광역시 영도구 해양로 50 (청학동),051-416-0009,33
숙박업(일반),라발스호텔,부산광역시 영도구 봉래나루로 82 (봉래동1가),051-790-1500,380
숙박업(일반),노스하버호텔부산,부산광역시 영도구 태종로 45 (대교동1가),051-414-3333,106
숙박업(일반),그랜드베른호텔,부산광역시 영도구 해양로 38 (청학동),051-414-1300,60
숙박업(일반),아일랜드호텔부산,부산광역시 영도구 태종로 45 (대교동1가),,30
숙박업(일반),미디베일리호텔,부산광역시 영도구 태종로 45 (대교동1가),051-415-5528,125
숙박업(일반),호텔 아델라,부산광역시 영도구 태종로 45 (대교동1가),051-418-8888,65
숙박업(일반),모텔 더 반(The van),부산광역시 영도구 남항서로 115 (남항동1가),051-412-3538,16
숙박업(일반),시타딘커넥트호텔 하리 부산,부산광역시 영도구 동삼오션로 58 (동삼동),051-710-6220,103
숙박업(생활),시프트도어 하리 레지던스,부산광역시 영도구 동삼오션로 58 (동삼동),051-710-6220,160
