TURSM_CNTNTS_SEQ_NO,MENU_CD,LANG_CD,MAIN_THUMB_URL,DETAIL_VIEW_URL,CNTNTS_REPRSNT_TITLE_NM,CNTNTS_REPRSNT_SUBTITL_NM,MAIN_PLACE_NM,CTGRY_ONE_NM,CTGRY_TWO_NM,GUGUN_NM,TRRSRT_LA,TRRSRT_LO,HASHTAG_CN,TOUR_HNTIP_CN,TOUR_ETIQUETTE_CN,TRNSPORT_GUID_CN,OPER_PD,RSTDE_GUID_CN,UTILIIZA_WKDAY_ND_PD,UTILIIZA_CHRGE_CN,REPRSNT_MENU_NM,VIEWS_CO,LIKE_CO,FAVORITE_CO
394,DOM_000000202002001000,ko,/uploadImgs/files/cntnts/20191230175654997_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000202002001000&uc_seq=394&lang_cd=ko,"의료관광의성지,서면메디컬스트리트",의료와관광을동시에,서면메디컬스트리트,테마여행,이색여행,부산진구,35.1577911,129.0576172,"#부산여행,#서면메디컬스트리트,#메디컬투어,#의료관광,#부산관광,#부산서면,#미용,#뷰티,#서면메디컬스트리트축제,#추천여행,#부산이색여행,#의료서비스,#웰니스관광",,,"도시철도1,2호선서면역9번출구일대버스1,110-1,124,129-1,133,138-1,141,31,33,77,85,87,108,138,167,168,17,23,67,68,1004롯데호텔백화점하차주차:인근공영주차장(주차비별도)",,,,,,892,0,0
408,DOM_000000202002001000,ko,/uploadImgs/files/cntnts/20191230194109361_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000202002001000&uc_seq=408&lang_cd=ko,동래야놀자!동래역사여행,동래역사여행,동래역사여행,테마여행,이색여행,동래구,35.2017822,129.0839386,"#부산여행,#동래여행,#역사여행,#동래읍성임진왜란역사관,#동래부동헌,#동래향교,#복천박물관,#복천동고분군,#동래읍성역사관,#장영실과학동산,#북문,#북장대,#인생문,#충렬사",,,,,,,,,1842,1,0
417,DOM_000000202002001000,ko,/uploadImgs/files/cntnts/20191230204600180_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000202002001000&uc_seq=417&lang_cd=ko,부산인문학여행,부산인문학여행,부산인문학여행,테마여행,이색여행,동래구,35.2067223,129.0908966,"#부산인문학여행,#복천박물관,#복천동고분군,#동래읍성임진왜란역사관,#부산박물관,#부산근대역사관,#국립일제강제동원역사관,#보수동책방골목,#40계단문화관,#최민식갤러리,#요산문학관,#영화의전당,#부산시립미술관,#이터널저니,#국립부산과학관,#F1963",,,,,,,,,1088,0,0
431,DOM_000000202002001000,ko,/uploadImgs/files/cntnts/20191231101435327_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000202002001000&uc_seq=431&lang_cd=ko,"자연과문화,그리고역사가공존하는서부산투어",서부산투어,서부산투어,테마여행,이색여행,사하구,35.0464516,128.9626312,"#부산여행,#바다,#산,#공원,#자연,#섬,#절,#다대포해수욕장,#아미산전망대,#감천문화마을,#송도해수욕장,#삼락생태공원,#운수사,#석불사,#렛츠런파크부산경남,#가덕도,#정거마을,#외양포,#추천여행,#테마여행",,,,,,,,,1976,1,0
451,DOM_000000202002001000,ko,/uploadImgs/files/cntnts/20191231185003136_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000202002001000&uc_seq=451&lang_cd=ko,"부산바다의든든한지킴이,등대투어",등대투어,등대투어,테마여행,이색여행,영도구,35.052433,129.092804,"#부산,#기장,#청사포,#오륙도,#태종대,#등대,#젖병등대,#닭볏등대,#야구등대,#갈매기등대,#장승승대,#월드컵등대,#바다풍경,#힐링,#추천여행,#부산여행,#등대투어,#부산이색여행,#경치좋은곳,#해안산책로",,,,,,,,,1493,0,0
454,DOM_000000202002001000,ko,/uploadImgs/files/cntnts/20191231190800417_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000202002001000&uc_seq=454&lang_cd=ko,영화속부산을찾아가는쏠쏠한재미,영화속부산,영화속부산,테마여행,이색여행,기장군,35.2869682,129.1714172,"#부산,#기장,#영도,#아홉산숲,#흰여울문화마을,#수영만요트경기장,#범일동구름다리,#국제시장,#일광해수욕장,#미포,#미포철길,#부산데파트,#중앙동,#영화,#부산차이나타운,#부산영화촬영지,#추천여행,#부산여행,#포토스폿",,,,,,,,,1891,0,0
455,DOM_000000202002001000,ko,/uploadImgs/files/cntnts/20200117171817237_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000202002001000&uc_seq=455&lang_cd=ko,부산시티투어버스투어,부산시티투어버스투어,부산시티투어버스투어,테마여행,이색여행,동구,35.1143875,129.0395813,"#부산시티투어버스,#추천여행,#부산시티투어,#부산가볼만한곳,#혼자가는여행,#아이와함께,#친구와함께,#연인과함께,#가족여행,#시니어여행,#사계절,#레드라인,#그린라인,#블루라인,#점보버스",,,,,,,,,2779,0,0
464,DOM_000000202002001000,ko,/uploadImgs/files/cntnts/20191231202025720_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000202002001000&uc_seq=464&lang_cd=ko,"부산여행의메카,남포동체류기",남포동체류기,남포동체류기,테마여행,이색여행,중구,35.098671,129.0353088,"#부산여행,#추천여행,#부산가볼만한곳,#남포동,#쇼핑맛집,#전통시장,#길거리음식,#혼자가는여행,#아이와함께,#친구와함께,#연인과함께,#가족여행,#사계절,#부산여행코스추천,#선물,#기념품쇼핑",,,,,,,,,1857,0,0
465,DOM_000000202002001000,ko,/uploadImgs/files/cntnts/20200101134650132_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000202002001000&uc_seq=465&lang_cd=ko,갈대와억새가부르는가을노래,갈대명소,갈대명소,테마여행,이색여행,강서구,35.1149559,128.9485321,"#자연,#힐링,#운동,#산책,#가을여행,#가족여행,#추천여행,#부산여행,#부산가볼만한곳,#경치좋은곳,#나들이,#친구와함께,#연인과함께,#을숙도생태공원,#삼락생태공원,#대저생태공원,#다대포해수욕장,#포토스폿,#인생샷",,,,,,,,,2670,0,0
466,DOM_000000202002001000,ko,/uploadImgs/files/cntnts/20200101140309373_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000202002001000&uc_seq=466&lang_cd=ko,펫트립,펫트립,펫트립,테마여행,이색여행,부산진구,35.1683998,129.0582886,"#펫트립,#반려견과함께,#부산애견산책코스,#부산강아지산책코스,#온천천시민공원,#부산어린이대공원,#부산시민공원,#동래읍성,#광안리해수욕장,#APEC나루공원,#다대포해변공원,#다대포해수욕장,#산책하기좋은곳,#추천여행,#부산이색여행",,,,,,,,,1870,0,0
468,DOM_000000202002001000,ko,/uploadImgs/files/cntnts/20200101142243644_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000202002001000&uc_seq=468&lang_cd=ko,자전거로즐기는부산,자전거로즐기는부산,자전거로즐기는부산,테마여행,이색여행,강서구,35.1164703,128.9483185,"#부산여행,#이색체험,#자전거투어,#라이딩,#자전로즐기는부산,#을숙도생태공원,#화명생태공원,#대저생태공원,#수영강변로,#온천천시민공원,#부산자전거대여소",,,,,,,,,1634,0,0
476,DOM_000000202002001000,ko,/uploadImgs/files/cntnts/20200101154406282_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000202002001000&uc_seq=476&lang_cd=ko,"방탄소년단(BTS)정국의고향,부산만덕동산책하기",정국코스,정국코스,테마여행,이색여행,북구,35.2076416,129.0350037,"#부산여행,#부산가볼만한곳,#케이팝,#연예인코스,#덕후투어,#만덕동,#BTS,#방탄소년단,#정국코스,#아미,#가수,#팬,#산책,#백양초등학교,#만덕레고마을,#병풍암석불사,#가족여행,#추천여행,#친구와함께",,,,,,,,,2713,1,0
477,DOM_000000202002001000,ko,/uploadImgs/files/cntnts/20200101155010246_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000202002001000&uc_seq=477&lang_cd=ko,"방탄소년단(BTS)지민의고향,부산금정구성지순례코스탐방기",지민코스,지민코스,테마여행,이색여행,금정구,35.2301788,129.1206055,"#부산여행,#부산가볼만한곳,#케이팝,#연예인코스,#덕후투어,#BTS,#방탄소년단,#지민코스,#아미,#가수,#팬,#산책,#회동초등학교,#회동마루,#다대포해수욕장,#추천여행,#친구와함께",,,,,,,,,2388,1,0
485,DOM_000000202002001000,ko,/uploadImgs/files/cntnts/20200101170138040_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000202002001000&uc_seq=485&lang_cd=ko,색다른즐거움부산이색책방,부산이색책방,부산이색책방,테마여행,이색여행,중구,35.1033363,129.0265961,"#부산여행,#문화,#부산서점,#부산이색서점,#이색책방,#동네책방,#독립출판,#책,#독서모임,#커피,#힐링,#추천여행,#이색여행",,,,,,,,,945,0,0
487,DOM_000000202002001000,ko,/uploadImgs/files/cntnts/20200101171426472_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000202002001000&uc_seq=487&lang_cd=ko,부산일출명소완전정복,선라이즈투어,선라이즈투어,테마여행,이색여행,해운대구,35.1586723,129.1598511,"#부산여행,#자연,#선라이즈투어,#송정해수욕장,#해운대해수욕장,#광안리해수욕장,#죽성성당,#오랑대공원,#일출,#부산일출,#해돋이,#해맞이,#추천여행,#힐링,#바다풍경,#포토스폿,#인생샷",,,,,,,,,2564,1,0
488,DOM_000000202002001000,ko,/uploadImgs/files/cntnts/20200101172049081_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000202002001000&uc_seq=488&lang_cd=ko,선셋투어,선셋투어,선셋투어,테마여행,이색여행,사하구,35.0526924,128.9607849,"#자연,#바다,#선셋,#부산여행,#부산이색여행,#부산일몰명소,#선셋투어,#일몰,#석양,#노을,#아미산전망대,#다대포해수욕장,#흰여울문화마을,#을숙도,#추천여행,#경치좋은곳,#부산가볼만한곳,#힐링,#포토스폿,#인생샷",,,,,,,,,2409,3,1
489,DOM_000000202002001000,ko,/uploadImgs/files/cntnts/20200101173014369_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000202002001000&uc_seq=489&lang_cd=ko,부산야경투어,부산야경투어,부산야경투어,테마여행,이색여행,남구,35.1580276,129.0825806,"#부산여행,#야경스폿,#부산가볼만한곳,#부산야경투어,#황령산전망대,#산복도로,#광안대교,#부산항대교,#해운대,#마린시티,#더베이101,#연인과함께,#친구와함께,#추천여행,#부산데이트코스,#포토스폿,#인생샷",,,,,,,,,2817,3,1
512,DOM_000000202002001000,ko,/uploadImgs/files/cntnts/20200102150848967_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000202002001000&uc_seq=512&lang_cd=ko,조금특별한해운대사용설명서,"해운대,미포,청사포를잇는삼색의바다",해운대,테마여행,이색여행,해운대구,35.1583939,129.1598206,"#자연,#바다,#해변,#부산여행,#부산가볼만한곳,#경치좋은곳,#야경스폿,#부산데이트,#추천여행,#가족여행,#해운대,#바다풍경,#연인과함께,#친구와함께,#동백섬,#미포,#미포철길,#청사포,#다릿돌전망대",,,,,,,,,2429,0,0
513,DOM_000000202002001000,ko,/uploadImgs/files/cntnts/20200102165226718_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000202002001000&uc_seq=513&lang_cd=ko,"역동의초량,그이야기를담다",부산역부터유치환우체통까지,초량이바구길,테마여행,이색여행,동구,35.1163521,129.0387421,"#부산여행,#도보여행,#걷기길,#하이킹,#부산골목,#초량이바구길,#백제병원,#168계단,#산복도로,#까꼬막,#역사여행,#전망좋은곳,#부산테마여행,#부산역,#모노레일,#유치환우체통,#원도심투어",,,,,,,,,2274,2,0
514,DOM_000000202002001000,ko,/uploadImgs/files/cntnts/20200102182707342_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000202002001000&uc_seq=514&lang_cd=ko,뉴트로풍골목과반항아적거리이야기,"전리단길,전포카페거리","전리단길,전포카페거리",테마여행,이색여행,부산진구,35.1554031,129.0625458,"#부산여행,#부산가볼만한곳,#테마거리,#골목여행,#가족과함께,#연인과함께,#친구와함께,#추천여행,#핫플레이스,#이색카페,#디저트,#전포카페거리,#전리단길,#맛집,#빈티지,#액세서리,#소품점,#사진,#셀카,#부산데이트",,,"도시철도2호선전포역7번출구도보6분버스5-1,10,20,29,43,52,57,80,99,111,133,169-1부전도서관하차도보2분주차인근공여주차장",,,,,,1958,3,4
515,DOM_000000202002001000,ko,/uploadImgs/files/cntnts/20200102184132612_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000202002001000&uc_seq=515&lang_cd=ko,부산의황홀한대교풍경을찾아,부산브릿지투어,부산브릿지투어,테마여행,이색여행,수영구,35.1466446,129.129303,"#부산여행,#부산가볼만한곳,#경치좋은곳,#야경스폿,#부산데이트,#추천여행,#영도대교,#부산대교,#광안대교,#남항대교,#부산항대교,#을숙도대교,#거가대교,#포토스폿",,,,,,,,,2770,3,1
521,DOM_000000202002001000,ko,/uploadImgs/files/cntnts/20200110113026876_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000202002001000&uc_seq=521&lang_cd=ko,부산곳곳에숨어있는장미명소를찾아서,부산장미명소,부산곳곳에숨어있는장미명소를찾아서,테마여행,이색여행,북구,35.2336807,129.0099182,"#부산여행,#꽃여행,#부산가볼만한곳,#부산사진찍기좋은곳,#부산데이트코스,#추천여행,#가족과함께,#연인과함께,#부산꽃놀이,#화명장미공원,#유엔기념공원,#정관장미공원,#포토스폿",,,,,,,,,2087,0,0
761,DOM_000000202002001000,ko,/uploadImgs/files/cntnts/20200519142232395_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000202002001000&uc_seq=761&lang_cd=ko,나의힐링버킷리스트,"힐링의시간갖기(feat.산,강,그리고바다)","허브랑야생화,힐튼호텔산책로,온천천카페거리",테마여행,이색여행,금정구,35.2542229,129.0518341,"#부산여행,#부산가볼만한곳,#자연,#산,#바다,#숲길,#해안산책로,#산책로,#힐링,#핫플레이스,#감성사진,#나홀로여행,#금정산,#온천천카페거리,#힐튼호텔산책로,#친구와함께,#연인과함께,#가족여행,#포토스폿",,,,,,,,,2104,12,1
770,DOM_000000202002001000,ko,/uploadImgs/files/cntnts/20200529115757953_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000202002001000&uc_seq=770&lang_cd=ko,부산탐구생활~이노래아시는분푸쳐핸섭!,부산로컬송으로떠나는부산여행,"동백섬,해운대,광안리,남포동,자갈치시장",테마여행,이색여행,해운대구,35.1540222,129.1523285,"#부산여행,#부산가볼만한곳,#부산이색여행,#핫플레이스,#인생샷,#친구와함께,#연인과함께,#나홀로여행,#케이팝,#돌아와요부산항에,#부산바캉스,#부산에가면,#남포동,#광안리,#해운대,#동백섬",,,,,,,,,719,1,1
789,DOM_000000202002001000,ko,/uploadImgs/files/cntnts/20200611155013004_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000202002001000&uc_seq=789&lang_cd=ko,"부산탐구생활:영화에나온이곳,부산어디야?",흥미로운영화속부산이야기!,"칠백장,해운정사,임랑해수욕장,보수동책방골목,부전역",테마여행,이색여행,동래구,35.200016,129.0698547,"#부산여행,#부산가볼만한곳,#이다르이부산여행,#6월부산여행,#이색여행,#부산명소,#친구와함께,#연인과함께,#나홀로여행,#가족여행,#택시운전사,#칠백장,#1987,#해운정사,#임랑해수욕장,#보수동책방골목,#부산행,#부전역","영화의도시부산답게스크린에서부산을만나볼수있는기회가많아졌습니다.더다양한작품에서부산을만나길기대하며,영화속부산의색다른모습이궁금하다면아래링크를참고하세요.<pclass=""font-size20colorDarkBluemedium"">부산영상위원회</p><ahref=""http://www.bfc.or.kr/homepage/default/page/subLocation.do?menu_no=3001030103""target=""_blank""alt=""새창열림""class=""link-style1"">http://www.bfc.or.kr/homepage/default/page/subLocation.do?menu_no=3001030103</a>",,,,,,,,866,7,2
812,DOM_000000202002001000,ko,/uploadImgs/files/cntnts/20200703155006254_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000202002001000&uc_seq=812&lang_cd=ko,아름다운야경과함께하는여유로운밤산책,밤에도반짝반짝빛나는해운대,"마린시티,누리마루APEC하우스,달맞이언덕문탠로드",테마여행,이색여행,해운대구,35.157135,129.1761169,"#부산여행,#도보여행,#부산이색여행,#야경스폿,#감성사진,#밤산책,#부산명소,#부산데이트코스,#산책하기좋은곳,#힐링,#친구와함께,#가족여행,#연인과함께,#야간관광100선,#해운대,#달맞이언덕,#문탠로드,#누리마루APEC하우스,#마린시티",,,,,,,,,726,11,2
843,DOM_000000202002001000,ko,/uploadImgs/files/cntnts/20200724101223483_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000202002001000&uc_seq=843&lang_cd=ko,안녕한부산안녕한언택트힐링,부산의언택트여행지를알려드려요,"다대포해수욕장,회동수원지,부산치유의숲",테마여행,이색여행,사하구,35.0460739,128.9625397,"#부산여행,#부산이색여행,#부산가볼만한곳,#부산언택트여행지,#바다,#산,#수원지,#산책하기좋은곳,#숲길,#트레킹,#당일여행,#바다풍경,#피크닉,#경치좋은곳,#나홀로여행,#바다여행,#숲속여행,#힐링,#사계절,#다대포해수욕장,#회동수원지,#부산치유의숲,#이달의부산여행,#7월부산여행",,,"부산치유의숲도시철도1호선범어사역2번출구,마을버스기장군2-3환승,부산치유의숲하차주차부산치유의숲주차장회동수원지도시철도1호선구서역2번출구,마을버스금정구3-1환승,상현마을하차주차인근주차장다대포해수욕장도시철도1호선다대포해수욕장역2번출구도보8분주차다대포해수욕장공영주차장",,연중무휴,상시,무료,,1306,4,1
846,DOM_000000202002001000,ko,/uploadImgs/files/cntnts/20200729142319098_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000202002001000&uc_seq=846&lang_cd=ko,산복도로에서만나는멋진부산풍경,산복도로전망대,"유치환의우체통,역사의디오라마,하늘눈전망대",테마여행,이색여행,동구,35.1221733,129.0338287,"#부산여행,#부산가볼만한곳,#산복도로,#연인과함께,#친구와함께,#드라이브코스,#바다풍경,#전망좋은곳,#경치좋은곳,#유치환의우체통,#역사의디오라마,#하늘눈전망대",,,,,연중무휴,상시,무료,,414,0,0
847,DOM_000000202002001000,ko,/uploadImgs/files/cntnts/20200729144319174_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000202002001000&uc_seq=847&lang_cd=ko,모두특색이달라!삼색미술관투어,함께가요부산미술관으로!,"부산시립미술관,고은사진미술관,서면미술관",테마여행,이색여행,해운대구,35.1667213,129.1369476,"#부산여행,#부산가볼만한곳,#문화여행,#부산데이트코스,#실내여행지,#미술관,#미술관투어,#미술관나들이,#부모님과함께,#친구와함께,#연인과함께,#아이와함께,#혼자가는여행,#부산시립미술관,#고은사진미술관,#서면미술관,#이달의부산여행,#7월부산여행",,,,,,,,,633,4,1
853,DOM_000000202002001000,ko,/uploadImgs/files/cntnts/20200731141528895_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000202002001000&uc_seq=853&lang_cd=ko,안녕한부산안녕한언택트문화역사,부산의언택트여행지를알려드려요,"아미르공원,평화공원",테마여행,이색여행,영도구,35.0754051,129.0757751,"#부산여행,#부산이색여행,#부산가볼만한곳,#부산언택트여행지,#공원,#산책하기좋은곳,#산ㅌ책로,#바다풍경,#당일여행,#피크닉,#가족과함게,#아이와함께,#친구와함께,#나홀로여행,#힐링,#사계절,#아미르공원,#평화공원,#이달의부산여행,#7월부산여행",,,"아미르공원버스190,30,8,101,88동삼혁신지구입구하차,도보5분주차국립해양박물관주차장평화공원버스10,155,583,남구8평화공원하차,도보2분주차평화공원공영주차장",,연중무휴,상시,무료,,1011,1,0
854,DOM_000000202002001000,ko,/uploadImgs/files/cntnts/20200731154324160_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000202002001000&uc_seq=854&lang_cd=ko,부산BTS순례코스,방탄소년단이직접다녀간부산스팟!,"부산시민공원,부산시립미술관,광안리해수욕장,다대포해수욕장",테마여행,이색여행,부산진구,35.1685791,129.0573883,"#부산여행,#부산가볼만한곳,#BTS,#방탄소년단,#케이팝,#연예인코스,#덕후투어,#아미,#가수,#팬,#포토스팟,#부산시민공원,#부산시립미술관,#광안리해수욕장,#광안대교,#다대포해수욕장",,,,,,,,,615,1,1
855,DOM_000000202002001000,ko,/uploadImgs/files/cntnts/20200806150625863_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000202002001000&uc_seq=855&lang_cd=ko,화려한야경속고즈넉한풍경,"밤에더욱빛나는부산여행동래읍성지,황령산봉수대","동래읍성지,황령산봉수대",테마여행,이색여행,동래구,35.2091866,129.0893402,"#도보여행,#부산여행,#부산명소,#산책하기좋은곳,#힐링,#친구와함께,#가족여행,#야간관광100선,#야경스폿,#동래읍성지,#황령산봉수대,#이달의부산여행,#포토스팟,#연인과함께,#9월부산여행",,,,,,,,,238,6,2
858,DOM_000000202002001000,ko,/uploadImgs/files/cntnts/20200811164909177_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000202002001000&uc_seq=858&lang_cd=ko,친구랑우정뿜뿜!사진찍기좋은부산여행지,부산우정스냅사진명소,"경성대문화골목,광안리해수욕장,해운대고흐의길",테마여행,이색여행,남구,35.136837,129.1027527,"#부산여행,#부산가볼만한곳,#우정여행,#친구와함께,#스냅사진,#인생샷,#핫플레이스,#추억여행,#경성대문화골목,#광안리해수욕장,#해운대고흐의길,#이달의부산여행,#8월부산여행",,,,,,,,,259,0,0
